Policy	A	B
489	74.97	1.00
490	75.45	1.43
491	75.88	1.42
492	76.37	0.90
493	76.94	0.87
494	80.21	0.88
495	85.64	0.83
496	85.72	0.79
497	86.33	1.73
498	89.63	0.84
499	91.11	1.66
500	104.97	0.88
501	123.76	1.15
502	156.55	0.92
503	176.23	1.00
504	177.40	0.95
505	8224.10	18.83
