NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	8	8	20	1.72	0.88	0.65	0.19	0.00
2	8	8	20	1.71	0.85	0.66	0.19	0.00
2	8	8	20	1.72	0.87	0.65	0.19	0.00
1	12	12	20	1.93	1.30	0.44	0.19	0.00
2	8	8	20	3.11	2.24	0.66	0.20	0.00
2	8	8	20	2.14	1.30	0.65	0.19	0.00
1	9	9	16	2.14	1.64	0.34	0.16	0.00
1	6	6	24	3.62	2.96	0.51	0.15	0.00
1	2	2	12	2.16	1.78	0.27	0.11	0.00
2	8	8	20	2.29	1.43	0.66	0.19	0.00
2	8	8	20	2.65	1.78	0.67	0.20	0.00
2	23	23	58	3.30	1.11	1.76	0.43	0.00
1	3	3	16	1.61	1.15	0.33	0.13	0.00
1	4	4	9	1.93	1.58	0.22	0.12	0.00
1	2	2	6	1.30	1.04	0.16	0.10	0.00
1	12	12	20	2.06	1.41	0.44	0.20	0.00
2	8	8	20	2.43	1.56	0.67	0.20	0.00
1	2	2	12	1.61	1.24	0.26	0.11	0.00
1	12	12	20	2.05	1.41	0.44	0.20	0.00
2	8	8	20	2.08	1.21	0.67	0.20	0.00
2	8	8	20	1.95	1.10	0.66	0.19	0.00
2	8	8	20	1.86	1.01	0.65	0.20	0.00
2	2	2	12	2.16	1.80	0.26	0.11	0.00
1	12	12	20	2.10	1.46	0.44	0.20	0.00
1	12	12	20	1.93	1.30	0.44	0.20	0.00
2	14	14	32	2.51	1.23	1.01	0.26	0.00
1	42	42	120	4.47	1.12	2.80	0.55	0.00
1	15	15	48	2.22	0.93	1.05	0.24	0.00
2	8	8	44	9.09	7.65	1.17	0.27	0.00
1	0	0	1	1.19	1.03	0.16	0.00	0.00
2	14	14	32	1.99	0.69	1.04	0.27	0.00
2	19	19	32	2.54	1.42	0.82	0.30	0.00
2	8	8	20	2.19	1.34	0.65	0.19	0.00
4	13	13	74	4.67	1.41	2.76	0.49	0.00
2	8	8	20	2.29	1.42	0.67	0.19	0.00
2	8	8	20	2.66	1.80	0.67	0.19	0.00
2	14	14	32	3.49	2.16	1.05	0.28	0.00
3	8	8	78	4.79	1.75	2.75	0.29	0.00
1	12	12	40	1.65	0.65	0.80	0.20	0.00
2	21	21	54	2.70	1.05	1.32	0.33	0.00
2	8	8	20	1.61	0.79	0.63	0.18	0.00
1	21	21	32	2.04	1.09	0.68	0.27	0.00
2	14	14	32	2.50	1.21	1.02	0.27	0.00
1	9	9	37	2.93	1.86	0.87	0.20	0.00
2	14	14	32	2.63	1.31	1.04	0.29	0.00
1	12	12	20	1.78	1.14	0.45	0.20	0.00
1	120	120	252	10.69	1.50	7.81	1.39	0.00
1	2	2	12	1.82	1.53	0.21	0.08	0.00
2	14	14	32	2.83	1.53	1.03	0.27	0.00
2	8	8	20	2.47	1.59	0.68	0.20	0.00
2	8	8	20	2.16	1.31	0.66	0.19	0.00
3	40	40	189	9.01	1.01	7.30	0.70	0.00
3	33	33	66	3.52	0.74	2.15	0.62	0.00
1	21	21	32	2.50	1.52	0.69	0.29	0.00
1	10	10	36	2.67	1.68	0.80	0.19	0.00
2	18	18	84	4.85	1.24	3.25	0.37	0.00
1	4	4	18	2.30	1.81	0.37	0.12	0.00
1	21	21	32	2.16	1.24	0.65	0.27	0.00
